Run #1:
[53/100] Train Loss: 5641.0915, Test Loss: 2945.3085355750018, mIoU: 0.7142009419250595
[54/100] Train Loss: 4675.2676, Test Loss: 2842.3726274622045, mIoU: 0.7893264490049651
[55/100] Train Loss: 4454.9520, Test Loss: 2927.9189230064108, mIoU: 0.746555260015833
[56/100] Train Loss: 4163.7512, Test Loss: 2468.6293599606456, mIoU: 0.7843246762051624
[57/100] Train Loss: 4062.3630, Test Loss: 2526.701125569212, mIoU: 0.8242076557346182
[58/100] Train Loss: 3860.6069, Test Loss: 2688.7470300189825, mIoU: 0.7573722988839624
[59/100] Train Loss: 3770.6223, Test Loss: 2579.758063571192, mIoU: 0.8008812540479764
[60/100] Train Loss: 3624.6828, Test Loss: 2372.7658859012004, mIoU: 0.8247899853216015
[61/100] Train Loss: 3503.9848, Test Loss: 2546.3825751767686, mIoU: 0.8136650273051563
[62/100] Train Loss: 3378.0311, Test Loss: 2195.545371896039, mIoU: 0.8072778936734574
[63/100] Train Loss: 3251.1592, Test Loss: 2189.469060844055, mIoU: 0.821707899431041
[64/100] Train Loss: 3229.8305, Test Loss: 2416.1588659078293, mIoU: 0.8446943721714423
[65/100] Train Loss: 3199.8603, Test Loss: 2233.5187277721006, mIoU: 0.8196090127867354
[66/100] Train Loss: 3047.9969, Test Loss: 2175.8982690330827, mIoU: 0.8271501286993859
[67/100] Train Loss: 2952.7193, Test Loss: 2235.171772375483, mIoU: 0.8441232451808235
[68/100] Train Loss: 2981.1273, Test Loss: 2088.1933845542035, mIoU: 0.8409933386536445
[69/100] Train Loss: 2864.7889, Test Loss: 1929.1193830887407, mIoU: 0.8454504786342129
[70/100] Train Loss: 2773.0911, Test Loss: 2337.796195241717, mIoU: 0.8330855601222784
[71/100] Train Loss: 2758.3985, Test Loss: 2099.242606644399, mIoU: 0.8482911896196417
[72/100] Train Loss: 2704.2371, Test Loss: 1872.9818918692945, mIoU: 0.8300678394386604
[73/100] Train Loss: 2662.7647, Test Loss: 1958.0594428743202, mIoU: 0.8404302936650472
[74/100] Train Loss: 2602.1646, Test Loss: 1981.4897596260691, mIoU: 0.8480811173677629
[75/100] Train Loss: 2454.9109, Test Loss: 2013.7430960159365, mIoU: 0.8410865606412258
[76/100] Train Loss: 2427.2439, Test Loss: 1772.5915675953509, mIoU: 0.8606891568420594
[77/100] Train Loss: 2378.2613, Test Loss: 1920.2580178839846, mIoU: 0.8257923040595988
[78/100] Train Loss: 2434.7027, Test Loss: 1908.5753408787216, mIoU: 0.8499059563171247
[79/100] Train Loss: 2276.1645, Test Loss: 1835.8819401591713, mIoU: 0.8220586182832725
[80/100] Train Loss: 2334.0271, Test Loss: 1997.5610285914872, mIoU: 0.8693799597135027
[81/100] Train Loss: 2708.6581, Test Loss: 2456.078316556354, mIoU: 0.7309108550492632
[82/100] Train Loss: 2574.5718, Test Loss: 1816.2476880170495, mIoU: 0.78734799191293
[83/100] Train Loss: 2399.7996, Test Loss: 1959.758675787967, mIoU: 0.7150398188174696
[84/100] Train Loss: 2204.7084, Test Loss: 1804.3060790537045, mIoU: 0.7532942812602206
[85/100] Train Loss: 2141.4001, Test Loss: 1791.4868064373682, mIoU: 0.7621426976079643
[86/100] Train Loss: 2039.6924, Test Loss: 1895.6379309469573, mIoU: 0.7698346696540799
[87/100] Train Loss: 2054.0849, Test Loss: 1667.1118368252687, mIoU: 0.794625275051577
[88/100] Train Loss: 1996.9324, Test Loss: 1958.2539970350288, mIoU: 0.8385013565124727
[89/100] Train Loss: 1932.4938, Test Loss: 1884.1867415689687, mIoU: 0.862028578524349
[90/100] Train Loss: 1868.8152, Test Loss: 1599.1431985820464, mIoU: 0.8238280680679699
[91/100] Train Loss: 1972.4086, Test Loss: 1795.574281208758, mIoU: 0.8112717848616292
[92/100] Train Loss: 1919.2339, Test Loss: 1969.2123527376543, mIoU: 0.8363114835681056
[93/100] Train Loss: 1872.2876, Test Loss: 1561.6686312377565, mIoU: 0.82263020364761
[94/100] Train Loss: 1852.1553, Test Loss: 1642.8604186980738, mIoU: 0.8288312582646352
[95/100] Train Loss: 1743.2664, Test Loss: 1947.4109253182874, mIoU: 0.8338396353846695
[96/100] Train Loss: 1718.2593, Test Loss: 1695.5027915454132, mIoU: 0.8262705814972535
[97/100] Train Loss: 1687.4300, Test Loss: 1698.4940475799015, mIoU: 0.8343260734667606
[98/100] Train Loss: 1649.3941, Test Loss: 1770.283146553828, mIoU: 0.7773022542956832
[99/100] Train Loss: 1627.1326, Test Loss: 1672.8730355913397, mIoU: 0.760541844893963
[100/100] Train Loss: 1568.2392, Test Loss: 1995.5619641173614, mIoU: 0.7937892822434617

Run #3:
[1/100] Train Loss: 301028.8648, Test Loss: 236270.510897211, mIoU: 0.1427272358465228
[2/100] Train Loss: 178725.4821, Test Loss: 107930.7341261535, mIoU: 0.40903656397574584
[3/100] Train Loss: 143948.3705, Test Loss: 69991.85410756172, mIoU: 0.6261062544872533
[4/100] Train Loss: 129452.7665, Test Loss: 64101.122877512025, mIoU: 0.6562484739018274
[5/100] Train Loss: 118313.2404, Test Loss: 64570.96799976303, mIoU: 0.4779774130648187
[6/100] Train Loss: 108008.1082, Test Loss: 54281.54649045963, mIoU: 0.7051796037890967
[7/100] Train Loss: 97088.9727, Test Loss: 52998.99983336041, mIoU: 0.7411537102725634
[8/100] Train Loss: 90034.0295, Test Loss: 50561.48909481849, mIoU: 0.7040798722296253
[9/100] Train Loss: 83892.4639, Test Loss: 44198.19379224974, mIoU: 0.7182341253747268
